date,close
2020-02-26,0.994
2020-02-27,0.995
2020-02-28,0.973
2020-03-02,0.998
2020-03-03,1.002
2020-03-04,1.005
2020-03-05,1.019
2020-03-06,1.011
2020-03-09,0.997
2020-03-10,1.008
2020-03-11,1.0
2020-03-12,0.986
2020-03-13,0.972
2020-03-16,0.96
2020-03-17,0.955
2020-03-18,0.941
2020-03-19,0.925
2020-03-20,0.937
2020-03-23,0.911
2020-03-24,0.929
2020-03-25,0.947
2020-03-26,0.94
2020-03-27,0.947
2020-03-30,0.943
2020-03-31,0.937
2020-04-01,0.932
2020-04-02,0.941
2020-04-03,0.938
2020-04-07,0.947
2020-04-08,0.945
2020-04-09,0.948
2020-04-10,0.941
2020-04-13,0.937
2020-04-14,0.945
2020-04-15,0.941
2020-04-16,0.944
2020-04-17,0.947
2020-04-20,0.944
2020-04-21,0.936
2020-04-22,0.938
2020-04-23,0.935
2020-04-24,0.929
2020-04-27,0.934
2020-04-28,0.929
2020-04-29,0.939
2020-04-30,0.951
2020-05-06,0.948
2020-05-07,0.942
2020-05-08,0.949
2020-05-11,0.95
2020-05-12,0.945
2020-05-13,0.945
2020-05-14,0.936
2020-05-15,0.933
2020-05-18,0.936
2020-05-19,0.939
2020-05-20,0.935
2020-05-21,0.931
2020-05-22,0.918
2020-05-25,0.917
2020-05-26,0.921
2020-05-27,0.923
2020-05-28,0.926
2020-05-29,0.922
2020-06-01,0.933
2020-06-02,0.937
2020-06-03,0.939
2020-06-04,0.933
2020-06-05,0.934
2020-06-08,0.937
2020-06-09,0.94
2020-06-10,0.936
2020-06-11,0.927
2020-06-12,0.925
2020-06-15,0.917
2020-06-16,0.926
2020-06-17,0.929
2020-06-18,0.936
2020-06-19,0.937
2020-06-22,0.934
2020-06-23,0.93
2020-06-24,0.936
2020-06-29,0.928
2020-06-30,0.932
2020-07-01,0.946
2020-07-02,0.969
2020-07-03,0.989
2020-07-06,1.056
2020-07-07,1.041
2020-07-08,1.052
2020-07-09,1.058
2020-07-10,1.035
2020-07-13,1.051
2020-07-14,1.044
2020-07-15,1.028
2020-07-16,1.014
2020-07-17,1.011
2020-07-20,1.042
2020-07-21,1.039
2020-07-22,1.043
2020-07-23,1.037
2020-07-24,1.012
2020-07-27,1.01
2020-07-28,1.013
2020-07-29,1.022
2020-07-30,1.02
2020-07-31,1.021
2020-08-03,1.031
2020-08-04,1.043
2020-08-05,1.032
2020-08-06,1.032
2020-08-07,1.029
2020-08-10,1.043
2020-08-11,1.039
2020-08-12,1.047
2020-08-13,1.05
2020-08-14,1.06
2020-08-17,1.083
2020-08-18,1.08
2020-08-19,1.083
2020-08-20,1.071
2020-08-21,1.073
2020-08-24,1.072
2020-08-25,1.067
2020-08-26,1.06
2020-08-27,1.061
