date,close
2019-10-28,1.024
2019-10-29,1.013
2019-10-30,1.009
2019-10-31,1.004
2019-11-01,1.019
2019-11-04,1.025
2019-11-05,1.034
2019-11-06,1.027
2019-11-07,1.031
2019-11-08,1.034
2019-11-11,1.016
2019-11-12,1.017
2019-11-13,1.025
2019-11-14,1.033
2019-11-15,1.025
2019-11-18,1.029
2019-11-19,1.049
2019-11-20,1.04
2019-11-21,1.037
2019-11-22,1.021
2019-11-25,1.017
2019-11-26,1.023
2019-11-27,1.024
2019-11-28,1.02
2019-11-29,1.015
2019-12-02,1.014
2019-12-03,1.018
2019-12-04,1.018
2019-12-05,1.032
2019-12-06,1.038
2019-12-09,1.029
2019-12-10,1.039
2019-12-11,1.035
2019-12-12,1.036
2019-12-13,1.05
2019-12-16,1.075
2019-12-17,1.083
2019-12-18,1.084
2019-12-19,1.08
2019-12-20,1.071
2019-12-23,1.054
2019-12-24,1.073
2019-12-25,1.08
2019-12-26,1.082
2019-12-27,1.074
2019-12-30,1.084
2019-12-31,1.093
2020-01-02,1.122
2020-01-03,1.122
2020-01-06,1.125
2020-01-07,1.137
2020-01-08,1.126
2020-01-09,1.148
2020-01-10,1.159
2020-01-13,1.174
2020-01-14,1.166
2020-01-15,1.168
2020-01-16,1.168
2020-01-17,1.17
2020-01-20,1.194
2020-01-21,1.183
2020-01-22,1.203
2020-01-23,1.163
2020-02-03,1.047
2020-02-04,1.095
2020-02-05,1.116
2020-02-06,1.144
2020-02-07,1.154
2020-02-10,1.163
2020-02-11,1.17
2020-02-12,1.195
2020-02-13,1.185
2020-02-14,1.186
2020-02-17,1.228
2020-02-18,1.235
2020-02-19,1.223
2020-02-20,1.259
2020-02-21,1.282
2020-02-24,1.311
2020-02-25,1.317
2020-02-26,1.262
2020-02-27,1.281
2020-02-28,1.218
2020-03-02,1.273
2020-03-03,1.278
2020-03-04,1.262
2020-03-05,1.276
2020-03-06,1.26
2020-03-09,1.198
2020-03-10,1.238
2020-03-11,1.215
2020-03-12,1.186
2020-03-13,1.175
2020-03-16,1.096
2020-03-17,1.1
2020-03-18,1.079
2020-03-19,1.093
2020-03-20,1.103
2020-03-23,1.049
2020-03-24,1.07
2020-03-25,1.11
2020-03-26,1.099
2020-03-27,1.099
2020-03-30,1.083
2020-03-31,1.078
2020-04-01,1.079
2020-04-02,1.109
2020-04-03,1.101
2020-04-07,1.132
2020-04-08,1.137
2020-04-09,1.138
2020-04-10,1.113
2020-04-13,1.102
2020-04-14,1.132
2020-04-15,1.129
2020-04-16,1.137
2020-04-17,1.15
2020-04-20,1.16
2020-04-21,1.148
2020-04-22,1.154
2020-04-23,1.142
2020-04-24,1.125
2020-04-27,1.13
2020-04-28,1.133
2020-04-29,1.13
2020-04-30,1.162
2020-05-06,1.189
2020-05-07,1.188
2020-05-08,1.202
2020-05-11,1.205
2020-05-12,1.208
2020-05-13,1.21
2020-05-14,1.197
