date,close
2023-03-20,0.997
2023-03-21,1.005
2023-03-22,1.02
2023-03-23,1.007
2023-03-24,1.018
2023-03-27,1.027
2023-03-28,1.018
2023-03-29,1.019
2023-03-30,1.031
2023-03-31,1.039
2023-04-03,1.052
2023-04-04,1.054
2023-04-05,1.054
2023-04-06,1.038
2023-04-07,1.047
2023-04-10,1.042
2023-04-11,1.047
2023-04-12,1.041
2023-04-13,1.035
2023-04-14,1.044
2023-04-17,1.049
2023-04-18,1.049
2023-04-19,1.046
2023-04-20,1.046
2023-04-21,1.044
2023-04-24,1.042
2023-04-25,1.044
2023-04-26,1.04
2023-04-27,1.042
2023-04-28,1.059
2023-05-01,1.059
2023-05-02,1.059
2023-05-03,1.059
2023-05-04,1.053
2023-05-05,1.05
2023-05-08,1.068
2023-05-09,1.069
2023-05-10,1.066
2023-05-11,1.08
2023-05-12,1.086
2023-05-15,1.084
2023-05-16,1.087
2023-05-17,1.096
2023-05-18,1.111
2023-05-19,1.135
2023-05-22,1.13
2023-05-23,1.14
2023-05-24,1.123
2023-05-25,1.14
2023-05-26,1.145
2023-05-29,1.186
2023-05-30,1.187
2023-05-31,1.184
2023-06-01,1.182
2023-06-02,1.194
2023-06-05,1.203
2023-06-06,1.205
2023-06-07,1.206
2023-06-08,1.182
2023-06-09,1.201
2023-06-12,1.215
2023-06-13,1.242
2023-06-14,1.242
2023-06-15,1.25
2023-06-16,1.258
2023-06-19,1.259
2023-06-20,1.256
2023-06-21,1.262
2023-06-22,1.262
2023-06-23,1.262
2023-06-26,1.254
2023-06-27,1.237
2023-06-28,1.254
2023-06-29,1.265
2023-06-30,1.262
2023-07-03,1.281
2023-07-04,1.277
2023-07-05,1.275
2023-07-06,1.275
2023-07-07,1.267
2023-07-10,1.257
2023-07-11,1.263
2023-07-12,1.266
2023-07-13,1.281
2023-07-14,1.291
2023-07-17,1.299
2023-07-18,1.31
2023-07-19,1.333
2023-07-20,1.313
2023-07-21,1.293
2023-07-24,1.292
2023-07-25,1.287
2023-07-26,1.293
2023-07-27,1.299
2023-07-28,1.292
2023-07-31,1.307
2023-08-01,1.312
2023-08-02,1.299
2023-08-03,1.28
2023-08-04,1.289
2023-08-07,1.281
2023-08-08,1.282
2023-08-09,1.282
2023-08-10,1.269
2023-08-11,1.273
2023-08-14,1.266
2023-08-15,1.287
2023-08-16,1.273
2023-08-17,1.263
2023-08-18,1.243
2023-08-21,1.249
2023-08-22,1.267
2023-08-23,1.27
2023-08-24,1.299
2023-08-25,1.25
2023-08-28,1.268
2023-08-29,1.279
2023-08-30,1.302
2023-08-31,1.308
2023-09-01,1.306
2023-09-04,1.31
2023-09-05,1.308
2023-09-06,1.313
2023-09-07,1.302
2023-09-08,1.307
2023-09-11,1.298
2023-09-12,1.309
2023-09-13,1.295
2023-09-14,1.303
2023-09-15,1.308
2023-09-18,1.289
2023-09-19,1.288
2023-09-20,1.287
2023-09-21,1.267
2023-09-22,1.25
2023-09-25,1.252
2023-09-26,1.246
2023-09-27,1.239
2023-09-28,1.24
2023-09-29,1.24
2023-10-02,1.24
2023-10-03,1.24
2023-10-04,1.24
2023-10-05,1.24
2023-10-06,1.24
2023-10-09,1.259
2023-10-10,1.277
2023-10-11,1.285
2023-10-12,1.294
2023-10-13,1.287
2023-10-16,1.275
2023-10-17,1.284
2023-10-18,1.28
2023-10-19,1.265
2023-10-20,1.252
2023-10-23,1.242
2023-10-24,1.25
2023-10-25,1.246
2023-10-26,1.21
2023-10-27,1.212
2023-10-30,1.216
2023-10-31,1.213
2023-11-01,1.226
2023-11-02,1.25
2023-11-03,1.264
2023-11-06,1.278
2023-11-07,1.278
2023-11-08,1.29
2023-11-09,1.297
2023-11-10,1.285
2023-11-13,1.31
2023-11-14,1.313
2023-11-15,1.333
2023-11-16,1.33
2023-11-17,1.33
2023-11-20,1.316
2023-11-21,1.329
2023-11-22,1.319
2023-11-23,1.327
2023-11-24,1.328
2023-11-27,1.321
2023-11-28,1.325
2023-11-29,1.325
2023-11-30,1.324
2023-12-01,1.32
2023-12-04,1.32
2023-12-05,1.308
2023-12-06,1.325
2023-12-07,1.311
2023-12-08,1.328
2023-12-11,1.338
2023-12-12,1.354
2023-12-13,1.367
2023-12-14,1.382
2023-12-15,1.369
2023-12-18,1.379
2023-12-19,1.389
2023-12-20,1.395
2023-12-21,1.382
2023-12-22,1.388
2023-12-25,1.388
2023-12-26,1.395
2023-12-27,1.4
2023-12-28,1.399
2023-12-29,1.393
2024-01-01,1.393
2024-01-02,1.39
2024-01-03,1.37
2024-01-04,1.362
2024-01-05,1.352
2024-01-08,1.353
2024-01-09,1.384
2024-01-10,1.389
2024-01-11,1.403
2024-01-12,1.399
2024-01-15,1.407
2024-01-16,1.4
2024-01-17,1.399
2024-01-18,1.402
2024-01-19,1.426
2024-01-22,1.459
2024-01-23,1.447
2024-01-24,1.467
2024-01-25,1.459
2024-01-26,1.448
2024-01-29,1.456
2024-01-30,1.47
2024-01-31,1.446
2024-02-01,1.433
2024-02-02,1.461
2024-02-05,1.472
2024-02-06,1.473
2024-02-07,1.466
2024-02-08,1.487
2024-02-19,1.48
2024-02-20,1.475
2024-02-21,1.458
2024-02-22,1.482
2024-02-23,1.502
2024-02-26,1.493
2024-02-27,1.494
2024-02-28,1.5
2024-02-29,1.491
2024-03-01,1.512
2024-03-04,1.531
2024-03-05,1.518
2024-03-06,1.503
2024-03-07,1.5
2024-03-08,1.524
2024-03-11,1.502
2024-03-12,1.505
2024-03-13,1.518
2024-03-14,1.512
2024-03-15,1.499
2024-03-18,1.495
2024-03-19,1.495
2024-03-20,1.501
2024-03-21,1.535
2024-03-22,1.536
2024-03-25,1.528
2024-03-26,1.533
2024-03-27,1.53
2024-03-28,1.53
2024-03-29,1.527
2024-04-01,1.538
2024-04-02,1.531
2024-04-03,1.517
2024-04-08,1.517
2024-04-09,1.52
2024-04-10,1.524
2024-04-11,1.511
2024-04-12,1.535
2024-04-15,1.517
2024-04-16,1.483
2024-04-17,1.482
2024-04-18,1.477
2024-04-19,1.448
2024-04-22,1.439
2024-04-23,1.444
2024-04-24,1.477
2024-04-25,1.453
2024-04-26,1.478
2024-04-29,1.49
2024-04-30,1.49
2024-05-06,1.496
2024-05-07,1.509
2024-05-08,1.512
2024-05-09,1.507
2024-05-10,1.517
2024-05-13,1.523
2024-05-14,1.522
2024-05-15,1.529
2024-05-16,1.554
2024-05-17,1.55
2024-05-20,1.554
2024-05-21,1.561
2024-05-22,1.569
2024-05-23,1.582
2024-05-24,1.559
2024-05-27,1.577
2024-05-28,1.58
2024-05-29,1.575
2024-05-30,1.556
2024-05-31,1.551
2024-06-03,1.561
2024-06-04,1.555
2024-06-05,1.567
2024-06-06,1.596
2024-06-07,1.598
2024-06-11,1.601
2024-06-12,1.615
2024-06-13,1.647
2024-06-14,1.645
2024-06-17,1.653
2024-06-18,1.674
2024-06-19,1.679
2024-06-20,1.687
2024-06-21,1.665
2024-06-24,1.66
2024-06-25,1.647
2024-06-26,1.667
2024-06-27,1.659
2024-06-28,1.677
2024-07-01,1.67
2024-07-02,1.67
2024-07-03,1.705
2024-07-04,1.72
2024-07-05,1.727
2024-07-08,1.731
2024-07-09,1.743
2024-07-10,1.737
2024-07-11,1.755
2024-07-12,1.701
2024-07-15,1.733
2024-07-16,1.729
2024-07-17,1.71
2024-07-18,1.681
2024-07-19,1.665
2024-07-22,1.66
2024-07-23,1.667
2024-07-24,1.647
2024-07-25,1.599
2024-07-26,1.592
2024-07-29,1.616
2024-07-30,1.603
2024-07-31,1.598
2024-08-01,1.635
2024-08-02,1.556
2024-08-05,1.446
2024-08-06,1.502
2024-08-07,1.51
2024-08-08,1.485
2024-08-09,1.53
2024-08-12,1.54
2024-08-13,1.549
2024-08-14,1.574
2024-08-15,1.581
2024-08-16,1.631
2024-08-19,1.608
2024-08-20,1.641
2024-08-21,1.632
2024-08-22,1.637
2024-08-23,1.622
2024-08-26,1.623
2024-08-27,1.609
2024-08-28,1.614
2024-08-29,1.583
2024-08-30,1.593
2024-09-02,1.603
2024-09-03,1.604
2024-09-04,1.544
2024-09-05,1.547
2024-09-06,1.539
2024-09-09,1.524
2024-09-10,1.53
2024-09-11,1.544
2024-09-12,1.589
2024-09-13,1.596
2024-09-18,1.595
2024-09-19,1.608
2024-09-20,1.613
2024-09-23,1.619
2024-09-24,1.617
2024-09-25,1.61
2024-09-26,1.64
2024-09-27,1.618
2024-09-30,1.615
2024-10-08,1.61
2024-10-09,1.629
2024-10-10,1.651
2024-10-11,1.653
2024-10-14,1.655
2024-10-15,1.681
2024-10-16,1.663
2024-10-17,1.67
2024-10-18,1.665
2024-10-21,1.667
2024-10-22,1.669
2024-10-23,1.677
2024-10-24,1.659
2024-10-25,1.668
2024-10-28,1.686
2024-10-29,1.684
2024-10-30,1.698
2024-10-31,1.666
2024-11-01,1.647
2024-11-04,1.652
2024-11-05,1.644
2024-11-06,1.704
2024-11-07,1.73
2024-11-08,1.748
2024-11-11,1.761
2024-11-12,1.766
2024-11-13,1.754
2024-11-14,1.757
2024-11-15,1.733
2024-11-18,1.721
2024-11-19,1.722
2024-11-20,1.737
2024-11-21,1.726
2024-11-22,1.737
2024-11-25,1.751
2024-11-26,1.749
2024-11-27,1.755
2024-11-28,1.744
2024-11-29,1.743
2024-12-02,1.753
2024-12-03,1.782
2024-12-04,1.789
2024-12-05,1.804
2024-12-06,1.798
2024-12-09,1.82
2024-12-10,1.795
2024-12-11,1.797
2024-12-12,1.826
2024-12-13,1.83
2024-12-16,1.839
2024-12-17,1.876
2024-12-18,1.881
2024-12-19,1.829
2024-12-20,1.793
2024-12-23,1.848
2024-12-24,1.859
2024-12-25,1.904
2024-12-26,1.918
2024-12-27,1.9
2024-12-30,1.869
2024-12-31,1.851
2025-01-02,1.876
2025-01-03,1.856
2025-01-06,1.907
2025-01-07,1.884
2025-01-08,1.866
2025-01-09,1.864
2025-01-13,1.803
2025-01-14,1.83
2025-01-15,1.813
2025-01-16,1.859
2025-01-17,1.85
2025-01-20,1.88
2025-01-21,1.879
2025-01-22,1.887
2025-01-23,1.874
2025-01-24,1.876
2025-01-27,1.84
2025-02-05,1.84
2025-02-06,1.857
2025-02-07,1.854
2025-02-10,1.841
2025-02-11,1.843
2025-02-12,1.841
2025-02-13,1.847
2025-02-14,1.864
2025-02-17,1.868
2025-02-18,1.881
2025-02-19,1.873
2025-02-20,1.861
2025-02-24,1.822
2025-02-25,1.794
2025-02-26,1.782
2025-02-27,1.789
2025-02-28,1.731
2025-03-03,1.768
2025-03-04,1.731
2025-03-05,1.727
2025-03-06,1.728
2025-03-07,1.687
2025-03-10,1.686
2025-03-11,1.628
2025-03-12,1.626
2025-03-13,1.628
