date,close
2017-02-14,3.435
2017-02-15,3.423
2017-02-16,3.438
2017-02-17,3.418
2017-02-20,3.474
2017-02-21,3.474
2017-02-22,3.485
2017-02-23,3.47
2017-02-24,3.467
2017-02-27,3.44
2017-02-28,3.445
2017-03-01,3.449
2017-03-02,3.437
2017-03-03,3.424
2017-03-06,3.441
2017-03-07,3.446
2017-03-08,3.45
2017-03-09,3.419
2017-03-10,3.422
2017-03-13,3.459
2017-03-14,3.451
2017-03-15,3.457
2017-03-16,3.478
2017-03-17,3.439
2017-03-20,3.441
2017-03-21,3.465
2017-03-22,3.447
2017-03-23,3.457
2017-03-24,3.49
2017-03-27,3.474
2017-03-28,3.469
2017-03-29,3.462
2017-03-30,3.429
2017-03-31,3.454
2017-04-03,3.454
2017-04-04,3.454
2017-04-05,3.511
2017-04-06,3.507
2017-04-07,3.514
2017-04-10,3.505
2017-04-11,3.514
2017-04-12,3.501
2017-04-13,3.514
2017-04-14,3.485
2017-04-17,3.473
2017-04-18,3.465
2017-04-19,3.438
2017-04-20,3.457
2017-04-21,3.46
2017-04-24,3.423
2017-04-25,3.434
2017-04-26,3.442
2017-04-27,3.444
2017-04-28,3.431
2017-05-01,3.431
2017-05-02,3.426
2017-05-03,3.409
2017-05-04,3.396
2017-05-05,3.374
2017-05-08,3.345
2017-05-09,3.348
2017-05-10,3.336
2017-05-11,3.353
2017-05-12,3.38
2017-05-15,3.394
2017-05-16,3.434
2017-05-17,3.411
2017-05-18,3.396
2017-05-19,3.402
2017-05-22,3.405
2017-05-23,3.42
2017-05-24,3.42
2017-05-25,3.493
2017-05-26,3.487
2017-05-29,3.487
2017-05-30,3.487
2017-05-31,3.489
2017-06-01,3.497
2017-06-02,3.488
2017-06-05,3.465
2017-06-06,3.492
2017-06-07,3.54
2017-06-08,3.565
2017-06-09,3.587
2017-06-12,3.58
2017-06-13,3.587
2017-06-14,3.551
2017-06-15,3.539
2017-06-16,3.533
2017-06-19,3.573
2017-06-20,3.562
